"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2024-05-09T14:49:30.937505Z",1,"[{""start"":33,""end"":39,""text"":""Москве"",""labels"":[""LOC_CITY""]},{""start"":53,""end"":76,""text"":""Ломоносовский проспект»"",""labels"":[""LOC""]}]",11.596,"Трубу с горячей водой прорвало в Москве около метро «Ломоносовский проспект»","2024-05-09T14:49:30.937583Z"
15,"1","2024-05-21T15:18:48.063217Z",2,"",12.489,"BRIEF","2024-05-21T15:18:48.063237Z"
2,"1","2024-05-10T11:06:05.250606Z",3,"[{""start"":247,""end"":255,""text"":""Украины."",""labels"":[""LOC_COUNTRY""]},{""start"":278,""end"":280,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]}]",19.274,"Политолог Георгий Бовт:Эдак можно второй состав ВСУ будет сформировать. Что станет особенно актуальным, когда в первом будет сильный недокомплект. По некоторым данным , за границей в Европе находятся около 600 тысяч военнообязанных мужчин-граждан Украины. Эта война (со стороны РФ она же СВО) будет вечной.","2024-05-10T11:06:05.250630Z"
3,"1","2024-05-10T11:06:08.129832Z",4,"[{""start"":18,""end"":20,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]},{""start"":444,""end"":446,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]},{""start"":449,""end"":457,""text"":""Турцией,"",""labels"":[""LOC_COUNTRY""]},{""start"":458,""end"":464,""text"":""Китаем"",""labels"":[""LOC_COUNTRY""]}]",14.092,"❗️В правительстве РФ опасаются ""неуправляемого падения рубля"", которое может произойти ближе к концу текущего года.Источники в кабмине говорят, что подобный сценарий рассматривается как ""весьма вероятный"".""На это повлияют многие факторы: как общее состояние экономики (которая уже не растет теми темпами, как предполагалось), и продолжающееся давление Запада (которое уже привело к существенным проблемам в проведении платежей между компаниями РФ с Турцией, Китаем и другими дружественными странами). Чиновники кулуарно признаются, что готовится к потенциальному обвалу рубля нужно уже сейчас. Если заранее принять необходимые меры, то самого ужасного шокового сценария удастся избежать"", — говорят в коридорах власти.@sekret_msk","2024-05-10T11:06:08.129855Z"
4,"1","2024-05-10T11:06:22.996942Z",5,"[{""start"":669,""end"":680,""text"":""Ставрополья"",""labels"":[""LOC_REGION""]}]",12.511,"За каждой задачей, приказом или указом должно быть назначено конкретное лицо со сроками исполнения, в т.ч. перечнем его компетенций, влияющих на выполнение поставленных задач, в т.ч. с промежуточной оценкой в периоде. Если госслужащий не выполнил в срок, или выполнил недостаточно, как того требует программа, то он отстраняется от исполнения служебных обязанностей, назначается служебное расследование выполнения указа или приказа с вытекающими последствиями, которые могут не только закончится увольнением, но и также привлечением к административной или уголовной ответственности за халатность или саботаж. Замгенпрокурора Анатолий Разинкин потребовал от губернатора Ставрополья Владимира Владимирова навести порядок с исполнительской дисциплиной чиновников в социальной, экономической и экологической сферах и прекратить театр абсурда в краевом правительстве. @gazyry","2024-05-10T11:06:22.996966Z"
5,"1","2024-05-10T11:07:03.589454Z",6,"[{""start"":91,""end"":97,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":100,""end"":108,""text"":""Украины,"",""labels"":[""LOC_COUNTRY""]},{""start"":126,""end"":133,""text"":""Украине"",""labels"":[""LOC_COUNTRY""]},{""start"":532,""end"":537,""text"":""Киева"",""labels"":[""LOC_CITY""]},{""start"":572,""end"":579,""text"":""Украину"",""labels"":[""LOC_COUNTRY""]},{""start"":646,""end"":649,""text"":""США"",""labels"":[""LOC_COUNTRY""]},{""start"":715,""end"":726,""text"":""Вашингтоне,"",""labels"":[""LOC_CITY""]},{""start"":760,""end"":766,""text"":""Европе"",""labels"":[""LOC_COUNTRY""]},{""start"":798,""end"":805,""text"":""Украина"",""labels"":[""LOC_COUNTRY""]},{""start"":927,""end"":933,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":1152,""end"":1158,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":1161,""end"":1168,""text"":""Украины"",""labels"":[""LOC_COUNTRY""]},{""start"":1502,""end"":1509,""text"":""Украины"",""labels"":[""LOC_COUNTRY""]}]",38.681,"BRIEFLY. Акценты.В материале The Washington Time, который посвящен военному противостоянию России и Украины, подчеркивается - Украине не было предоставлено вовремя обещанное вооружение. Украинские войска сейчас с трудом обороняются. Русские войска продвигаются вперед вдоль линии фронта. Отсутствие противовоздушной обороны позволило большему количеству российских ракет поразить свои цели, а отсутствие возможностей для нанесения глубоких ударов позволило русским сконцентрировать больше сил – указал Столтенберг.Западные партнеры Киева неоднократно клялись поддерживать Украину «столько, сколько потребуется». Но жизненно важная военная помощь США была задержана на шесть месяцев из-за политических разногласий в Вашингтоне, а производство военной техники в Европе не успевает за спросом. Теперь Украина и ее западные партнеры торопятся развернуть новую важную военную помощь, которая поможет сдержать неуклонное продвижение России в восточных районах. Зеленский сообщает, что новые западные грузы начали поступать, но медленно «Этот процесс необходимо ускорить», - заявил он на пресс-конференции с главой НАТО. По мнению военных аналитиков конфликт России и Украины по-прежнему представляет собой артиллерийскую дуэль. В материале подчеркивается, что эксперты не ожидают значительных перемещений на линии фронта. The Washington Time публикует оценку Великобританского института изучения войны (ISW) - «российские силы вряд ли достигнут более глубокого оперативно значимого  проникновения на востоке Украины в ближайшей перспективе». Подписаться.","2024-05-10T11:07:03.589475Z"
6,"1","2024-05-10T11:07:09.975716Z",7,"[{""start"":68,""end"":75,""text"":""Тбилиси"",""labels"":[""LOC_CITY""]}]",4.596,"Спецназ начал применять резиновые пули для разгона акции протеста в Тбилиси у здания парламента.","2024-05-10T11:07:09.975739Z"
7,"1","2024-05-10T11:07:28.005148Z",8,"[{""start"":4,""end"":16,""text"":""Таджикистана"",""labels"":[""LOC_COUNTRY""]},{""start"":140,""end"":153,""text"":""Таджикистане."",""labels"":[""LOC_COUNTRY""]},{""start"":180,""end"":188,""text"":""Крокусе»"",""labels"":[""LOC""]},{""start"":205,""end"":211,""text"":""Россия"",""labels"":[""LOC_COUNTRY""]},{""start"":247,""end"":260,""text"":""Таджикистана,"",""labels"":[""LOC_COUNTRY""]},{""start"":535,""end"":547,""text"":""Таджикистана"",""labels"":[""LOC_COUNTRY""]},{""start"":574,""end"":580,""text"":""Россия"",""labels"":[""LOC_COUNTRY""]},{""start"":626,""end"":638,""text"":""Таджикистана"",""labels"":[""LOC_COUNTRY""]},{""start"":694,""end"":701,""text"":""Душанбе"",""labels"":[""LOC_CITY""]}]",16.993,"МИД Таджикистана активно и с недовольством реагирует на ситуацию с трудовыми мигрантами. Дошло до ноты протеста в адрес российского посла в Таджикистане. Сразу же после теракта в «Крокусе» стало ясно, что Россия ужесточит контроль за выходцами из Таджикистана, прежде всего, за т. н. «вовчиками», то есть ваххабитами, адептами религиозного экстремизма и другими. Однако Эмомали Рахмон и его администрация решили ограничиться, скорее, номинальными действиями. Как следствие, не выполнившие распоряжения российских властей органы власти Таджикистана подставили своих граждан. Россия и через МИД, и по линии ФСБ уведомила власти Таджикистана какие меры по усилению контроля страна принимает. Но в Душанбе не могут выполнить многие из этих требований. @wisedruidd","2024-05-10T11:07:28.005172Z"
16,"1","2024-05-21T15:18:52.814835Z",9,"",4.554,"Основателя криптобиржи Binance Чанпэна Чжао американский суд приговорил к 4 месяцам заключения. Его признали виновным в отмывании денег и иной незаконной финансовой деятельности.","2024-05-21T15:18:52.814857Z"
8,"1","2024-05-10T11:07:55.932677Z",10,"[{""start"":67,""end"":73,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":77,""end"":81,""text"":""США,"",""labels"":[""LOC_COUNTRY""]},{""start"":82,""end"":90,""text"":""Британии"",""labels"":[""LOC_COUNTRY""]},{""start"":218,""end"":224,""text"":""Россию"",""labels"":[""LOC_COUNTRY""]},{""start"":448,""end"":461,""text"":""Средней Азии."",""labels"":[""LOC""]},{""start"":377,""end"":383,""text"":""России"",""labels"":[""LOC_COUNTRY""]}]",18.432,"Скандалы в российско-таджикских отношениях сейчас на руку недругам России из США, Британии и т. д. Таджикскому президенту Э. Рахмону нужно серьёзно задуматься, ведь никаких альтернатив по отправке трудовых мигрантов в Россию у него нет. А вот меры силовиков, которые ужесточили контроль за трудовыми мигрантами, нужно только приветствовать. Слишком дорогой ценой для населения России оборачивается пребывание в нашей стране дешёвой рабочей силы из Средней Азии. В этом плане политика по ограничению их численности правильная. Хотя, конечно, вопрос с рабочей силой стоит открытым. @wisedruidd","2024-05-10T11:07:55.932700Z"
